movie,task,segment_coarse.rt,segment_fine.rt,order,sub
1.2.3,segment,,"[8.70133923800313, 56.69331247798982, 80.31731625199609, 94.92533559000003, 143.27735288300028, 236.66936102398904, 269.78134280099766, 304.02136974099267, 325.1813562409952, 334.9733748869912, 382.86938433299656, 429.7173942109948, 576.9814247849863]",fine_coarse,e152005
6.3.9,segment,,"[25.547947190993, 56.52396996700554, 277.1240183310001, 281.18000857299194, 305.58000837199506, 427.2280228979944, 531.4280147989921, 669.4120246859966]",fine_coarse,e152005
3.1.3,segment,,"[19.948985061986605, 71.6690138859849, 164.5970234439883, 253.65302296399022, 335.1490554449847, 453.3490620329976, 565.7730652329919]",fine_coarse,e152005
2.4.1,segment,,"[79.81783747198642, 90.51383662200533, 195.35385976199177, 223.07388111800537, 329.5619006319903, 401.04988013301045, 540.6659265930066, 579.5619089799875, 628.6899337880022, 641.8739343879861]",fine_coarse,e152005
1.2.3,segment,"[82.17929105399526, 145.08331367300707, 582.6593752820045]",,fine_coarse,e152005
6.3.9,segment,"[281.3335835369944, 439.4215906499885, 668.9416241660074]",,fine_coarse,e152005
3.1.3,segment,"[21.034288915019715, 395.2583310689952, 580.7143614279921]",,fine_coarse,e152005
2.4.1,segment,"[338.6184835979948, 405.4425017640169, 627.3545305549924]",,fine_coarse,e152005
1.2.3,segment,"[59.227603631999955, 83.88357980900037, 151.8596073940007, 269.8356039500004, 336.68362651999996, 427.41962016400066, 576.5476570170003]",,coarse_fine,e152006
6.3.9,segment,"[281.9590291270006, 437.80704761500056, 526.2950236730012, 670.5990432030012]",,coarse_fine,e152006
3.1.3,segment,"[25.50844383399999, 70.22843949800153, 170.3484622490014, 342.71646851600053, 414.7404769470013, 460.36448090200065, 574.4525190010008]",,coarse_fine,e152006
2.4.1,segment,"[211.30636371499895, 316.8263839629999, 402.4103732529984, 532.2025038159991, 625.9464174999994]",,coarse_fine,e152006
1.2.3,segment,,"[7.7027952690004895, 56.72681142399961, 82.29480411800068, 107.25478993099932, 144.35881771499953, 225.2148065599995, 235.24680131700006, 269.4548148190006, 285.57481607000045, 301.23878664699987, 321.06283812199945, 332.9588441449996, 347.822812032, 348.0627997869997, 377.5988217459999, 401.27086286099984, 426.54286110199973, 442.870867398, 457.2068388080006, 483.3508130680002, 505.3108639260008, 530.7988510579999, 553.2148455999995, 575.782833927]",coarse_fine,e152006
6.3.9,segment,,"[24.36784398800046, 54.703854764000425, 199.91987237500143, 274.19988132100116, 282.7519018870007, 303.1439035200001, 418.26389732400094, 506.6719169090011, 525.863899381, 543.5119344600007, 621.903926035, 668.7839299510015]",coarse_fine,e152006
3.1.3,segment,,"[20.51465830500092, 72.37867872499919, 96.81071400700057, 135.48271467000086, 172.81869248799921, 199.2987307559997, 227.88273818699963, 248.98670837700047, 266.08271613500074, 325.74670329699984, 343.4587585329991, 364.6187541239997, 384.314733919, 421.31472663299974, 460.36277657900064, 481.25872615700064, 511.3707579540005, 555.5467523450006, 580.578768591]",coarse_fine,e152006
2.4.1,segment,,"[11.353171523998753, 79.929193553, 137.95316749799895, 195.1452040669992, 242.91317249799977, 314.74519433800015, 347.6891950019999, 358.44124193399875, 397.9372115539991, 465.98523784200006, 528.7612497729988, 544.3292359850002, 573.5212374450002, 580.4412398349996, 584.8732401670004, 594.8812251149993, 626.2092305409988, 640.7292231579995]",coarse_fine,e152006
