parcel.id,hemisphere,community,parcel.label,HCP.label
350,L,SubCortical,accumbens,26
352,L,SubCortical,amygdala,18
355,L,SubCortical,caudate,11
357,L,SubCortical,hippocampus,17
359,L,SubCortical,pallidum,13
361,L,SubCortical,putamen,12
363,L,SubCortical,thalamus,10
365,L,SubCortical,cerebellum,8
367,L,SubCortical,diencephalon,28
351,R,SubCortical,accumbens,58
353,R,SubCortical,amygdala,54
356,R,SubCortical,caudate,50
358,R,SubCortical,hippocampus,53
360,R,SubCortical,pallidum,52
362,R,SubCortical,putamen,51
364,R,SubCortical,thalamus,49
366,R,SubCortical,cerebellum,47
368,R,SubCortical,diencephalon,60
354,LR,SubCortical,brainstem,16
