aHIP_rh,pHIP_rh,lAMY_rh,mAMY_rh,THA_DP_rh,THA_VP_rh,THA_VA_rh,THA_DA_rh,NAc_shell_rh,NAc_core_rh,pGP_rh,aGP_rh,aPUT_rh,pPUT_rh,aCAU_rh,pCAU_rh,aHIP_lh,pHIP_lh,lAMY_lh,mAMY_lh,THA_DP_lh,THA_VP_lh,THA_VA_lh,THA_DA_lh,NAc_shell_lh,NAc_core_lh,pGP_lh,aGP_lh,aPUT_lh,pPUT_lh,aCAU_lh,pCAU_lh,time_second
-11.17978,-1.42305,-13.43329,-10.06445,-0.1844645,-16.72798,-4.087294,-5.287751,-0.2377201,-10.45314,-9.667693,-18.95431,-18.18219,-7.340999,-2.528588,-17.0775,-16.5364,-12.41152,-21.92949,-7.33543,-8.368485,-3.097941,-6.583823,-7.994968,-5.403923,-1.143823,-5.115711,0.3172076,-7.243945,-4.982504,-10.57044,1.839226,-8.32898360001855
-9.207264,-5.570746,-14.71988,-12.30044,-1.033923,-20.9845,-5.573764,-9.999033,-2.351067,-5.244012,-11.83456,-13.54788,-19.82358,-10.31006,0.4022995,-21.02532,-21.14286,-13.27998,-27.48945,-16.31057,-13.77297,-2.433266,-8.693662,-14.08475,-3.258432,5.994505,-9.762836,4.054013,-9.833512,-7.215033,-13.63121,0.8415345,-6.845983600018549
-3.619881,-10.41527,-10.88739,-12.10229,-6.867536,-22.94936,-5.761035,-13.01132,-3.125532,11.63697,-4.88447,-4.542945,-19.82658,-14.38081,3.698313,-19.17098,-20.97544,-12.01384,-27.29001,-24.54423,-16.53289,-1.66461,-8.422095,-19.9039,-0.401155,11.54049,-12.65479,3.541903,-11.04924,-8.848277,-8.59265,-2.444269,-5.362983600018549
3.477116,-8.992363,-5.343371,-9.793282,-13.44797,-20.17066,-3.943218,-11.70967,1.856077,23.1258,5.294748,1.138434,-19.64613,-17.5988,8.259867,-14.9529,-17.66245,-8.682813,-19.94095,-25.4848,-17.70315,-1.097744,-5.672367,-15.77769,2.648347,14.97673,-11.08993,1.345189,-7.6643,-6.074128,1.222964,-0.6200761,-3.8799836000185497
8.553708,-2.089308,0.2043541,-8.58972,-20.21198,-8.861907,-2.658194,-7.211005,11.31598,21.92169,7.093834,5.148158,-15.15487,-15.65342,12.18254,-13.86076,-10.38656,-2.995981,-7.897465,-18.53751,-15.71278,2.249507,-1.27124,-4.218985,7.041762,22.3532,-6.184761,4.66835,0.09567948,-1.069998,7.874014,3.862659,-2.396983600018549
17.27595,3.338292,6.589309,-4.654284,-27.88797,5.134696,-2.290756,-4.510126,16.62393,12.70834,-0.1167976,8.858264,-6.164684,-7.588529,12.55056,-13.99447,-1.631947,0.03591532,3.081984,-6.584652,-12.32392,6.473096,4.166802,7.588975,13.36863,27.14618,1.955035,9.631133,6.633086,4.2813,10.13605,7.767483,-0.9139836000185486
29.70131,6.851489,14.41369,1.827252,-26.93426,14.74861,-1.149318,-3.716287,16.18558,-1.578065,-5.411847,14.79301,3.653118,0.5192369,11.10671,-12.91877,5.554645,2.002241,10.26833,3.547992,-8.807958,5.865701,7.829853,16.75459,18.31649,21.39879,8.11897,9.098507,8.902843,9.404958,7.592564,8.541748,0.5690163999814501
39.95366,10.16637,20.637,9.811685,-21.17379,16.06212,0.3962027,-1.365586,16.39478,-10.68442,-1.854125,20.01884,10.05995,1.505695,9.856982,-10.99029,12.88277,5.259322,13.7305,12.38853,-3.348933,1.177776,7.54251,15.57353,20.79925,9.692137,4.30122,2.246124,7.693954,10.25565,0.8593718,1.969067,2.0520163999814507
42.32074,12.68711,17.20256,18.62204,-14.66064,8.730391,2.972141,3.485363,17.73552,-15.01359,2.665595,22.31826,11.26128,-1.388171,6.48841,-5.472852,18.68485,8.974522,14.10736,22.91829,0.03989846,-3.207295,6.656486,8.994211,20.0645,-4.894177,-3.984525,-7.740811,4.636956,7.995585,-5.480051,-6.115395,3.5350163999814512
37.34418,15.28502,8.979566,22.96157,-6.980586,-0.2521575,4.486964,7.864681,20.04134,-17.33068,1.844969,21.85861,10.72484,-1.350704,0.738329,3.188907,20.06031,10.39401,12.78172,28.09726,-0.2083247,-6.003969,7.177261,8.701954,15.09939,-13.55567,-4.873429,-10.92761,1.967386,6.216849,-9.289252,-11.83048,5.018016399981452
